model,params [K],jevois_latency [ms],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,model_info
model_0788,1.808,2,16.55,61.44,84.23,0.73,"[271, 345, 120, 277, 38, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0789,9.394,9,648.57,583.46,83.15,0.83,"[120, 122, 35, 45, 148, 382]","{""0"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0790,6.792,8,153.15,576,81.56,0.84,"[249, 169, 10, 2, 164, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0791,27.97,29,1864.78,1867.78,85.04,0.81,"[52, 164, 299, 85, 292, 382]","{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0792,4.71,12,36.68,688.13,86.26,0.78,"[212, 279, 109, 342, 8, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0793,44.649,14,23.87,108,84.26,0.75,"[308, 145, 80, 289, 242, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0794,122.89,109,9981.67,1076.63,90.23,0.49,"[136, 121, 95, 205, 135, 382]","{""0"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0795,3.441,4,30.3,61.44,82.46,0.49,"[233, 43, 230, 66, 321, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0796,4.192,6,83.64,307.52,83.18,0.82,"[332, 62, 94, 7, 304, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0797,18.044,5,91.83,110.59,85.25,0.49,"[194, 293, 273, 325, 97, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0798,8.578,10,371.44,729.32,85.57,0.77,"[155, 184, 126, 45, 126, 382]","{""0"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0799,7.279,7,77.58,97.54,88.6,0.51,"[301, 254, 21, 356, 181, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0800,2.735,7,124.82,428.66,88.99,0.51,"[277, 259, 238, 253, 279, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0801,2.785,4,90.9,147.46,84.79,0.81,"[308, 67, 242, 14, 203, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0802,17.528,44,201.27,583.46,90.17,0.51,"[316, 111, 287, 19, 52, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0803,2.194,6,223.11,180.22,83.06,0.74,"[128, 43, 334, 330, 184, 382]","{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0804,19.37,24,2012.57,591.68,83.62,0.86,"[144, 160, 159, 42, 78, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0805,10.68,4,15.94,105.84,83.45,0.79,"[210, 106, 151, 104, 203, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0806,6.697,4,39.39,108.89,82.69,0.51,"[197, 105, 30, 161, 36, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0807,6.144,2,14.69,66.79,81.48,0.74,"[294, 21, 17, 117, 162, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0808,2.042,3,66.98,145.86,82.41,0.49,"[11, 153, 267, 23, 223, 382]","{""0"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0809,16.526,3,26.18,69.98,95.13,0.51,"[309, 210, 338, 97, 315, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0810,1024.832,199,26.18,2540.16,98.67,0.82,"[316, 159, 74, 121, 121, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0811,8.162,10,101.55,93.53,83.95,0.49,"[95, 28, 231, 79, 331, 382]","{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0812,1.762,17,70.08,291.73,84.01,0.51,"[39, 225, 310, 53, 259, 382]","{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0813,16.881,4,156.21,82.96,83.9,0.51,"[311, 154, 315, 159, 106, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0814,1.362,4,129.51,114.69,82.7,0.51,"[54, 271, 261, 279, 233, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0815,3.13,3,71.15,291.73,82.93,0.71,"[47, 240, 165, 8, 233, 382]","{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0816,4.354,60,304.71,1290.4,87.12,0.76,"[170, 146, 191, 216, 5, 382]","{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0817,40.728,61,208.91,729.32,89.15,0.51,"[254, 171, 297, 355, 279, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0818,35.194,11,146.22,190.56,83.62,0.79,"[56, 40, 102, 37, 195, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0819,16.672,6,40.87,138.88,84.18,0.77,"[212, 167, 174, 266, 234, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0820,6.514,9,191.69,146.56,84.12,0.8,"[79, 119, 122, 45, 278, 382]","{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0821,7.826,21,2102.7,809.55,96.83,0.79,"[126, 50, 122, 333, 192, 382]","{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0822,1387.196,39,2102.7,428.66,91.02,0.85,"[205, 167, 40, 98, 377, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Dense"", 36, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0823,1.658,3,58.51,78.74,83.77,0.51,"[57, 258, 321, 31, 246, 382]","{""0"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0824,18.69,21,170.3,537.92,83.6,0.8,"[74, 36, 169, 191, 109, 382]","{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0825,0.593,1,14.36,54.45,83.74,0.51,"[285, 272, 354, 193, 231, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0826,3.602,5,97.37,437.59,82.46,0.72,"[107, 346, 249, 86, 258, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0827,16.444,3,16.62,54.7,83.34,0.79,"[323, 354, 327, 136, 178, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0828,16.968,4,45.06,141.12,83,0.8,"[210, 141, 156, 270, 170, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0829,28.078,6,271.83,163.84,78.57,0.83,"[20, 127, 92, 318, 369, 382]","{""0"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Dense"", 20, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0830,4.112,9,143.52,147.92,82.74,0.51,"[287, 159, 2, 285, 290, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0831,3.997,3,16.6,110.59,83.43,0.77,"[332, 232, 289, 48, 296, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0832,11.066,7,263.81,725.92,81.85,0.76,"[177, 166, 81, 267, 112, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0833,2.61,5,116.05,133.82,96.42,0.51,"[131, 199, 322, 149, 6, 382]","{""0"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0834,3.537,6,160.26,482.43,88.11,0.83,"[196, 132, 359, 194, 354, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0835,0.164,1,7.01,54.7,83.38,0.51,"[348, 345, 258, 196, 308, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
