model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_410,1.834,,,,0.53,"[92, 22, 78, 321, 326, 295, 382]",7,"{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_411,8.818,,,,0.82,"[120, 22, 157, 128, 199, 382]",6,"{""0"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_412,13.21,,,,0.49,"[133, 204, 118, 219, 79, 136, 267, 382]",8,"{""0"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_413,6.778,,,,0.49,"[31, 33, 49, 141, 183, 233, 382]",7,"{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_414,21.394000000000002,,,,0.8,"[97, 170, 72, 77, 332, 382]",6,"{""0"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_415,5.501,,,,0.49,"[209, 321, 194, 153, 78, 338, 158, 341, 382]",9,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""6"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""8"": [2, ""softmax""]}"
model_416,11.04,,,,0.51,"[354, 145, 4, 300, 238, 179, 152, 64, 382]",9,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""5"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""7"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""8"": [2, ""softmax""]}"
model_417,19.225,,,,0.51,"[266, 1, 79, 72, 382]",5,"{""0"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_418,40.474000000000004,,,,0.86,"[103, 46, 146, 382]",4,"{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_419,5.65,,,,0.49,"[123, 309, 111, 28, 83, 264, 351, 382]",8,"{""0"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_420,1.859,,,,0.61,"[304, 356, 186, 358, 75, 271, 196, 280, 382]",9,"{""0"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""7"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""8"": [2, ""softmax""]}"
model_421,5.138,,,,0.74,"[319, 353, 350, 382]",4,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_422,33.378,,,,0.77,"[124, 143, 2, 79, 382]",5,"{""0"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_423,14.306,,,,0.74,"[44, 336, 73, 179, 382]",5,"{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_424,11.434000000000001,,,,0.51,"[28, 77, 308, 64, 242, 110, 198, 28, 28, 304, 382]",11,"{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""6"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""7"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""8"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""9"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""10"": [2, ""softmax""]}"
model_425,49.63399999999999,,,,0.51,"[87, 307, 259, 382]",4,"{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_426,1.798,,,,0.51,"[350, 330, 78, 291, 252, 115, 354, 382]",8,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""7"": [2, ""softmax""]}"
model_427,1311.03,,,,0.51,"[13, 42, 370, 382]",4,"{""0"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Dense"", 20, ""relu""], ""3"": [2, ""softmax""]}"
model_428,6352.738,,,,0.51,"[137, 145, 379, 382]",4,"{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Dense"", 40, ""sigmoid""], ""3"": [2, ""softmax""]}"
model_429,24.538,,,,0.8,"[80, 162, 257, 382]",4,"{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_430,2.432,,,,0.75,"[359, 5, 264, 30, 64, 13, 254, 382]",8,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""7"": [2, ""softmax""]}"
model_431,2.042,,,,0.51,"[97, 261, 3, 279, 4, 345, 209, 56, 182, 382]",10,"{""0"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""8"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""9"": [2, ""softmax""]}"
model_432,19.778,,,,0.51,"[88, 18, 14, 317, 282, 280, 96, 123, 106, 139, 186, 329, 11, 382]",14,"{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""6"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""7"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""9"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""10"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""11"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""12"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""13"": [2, ""softmax""]}"
model_433,2.682,,,,0.51,"[91, 303, 234, 253, 309, 355, 151, 382]",8,"{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_434,9.266,,,,0.51,"[209, 257, 64, 280, 71, 67, 54, 370, 382]",9,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""7"": [""Dense"", 20, ""relu""], ""8"": [2, ""softmax""]}"
model_435,6.266,,,,0.77,"[156, 352, 209, 93, 110, 334, 382]",7,"{""0"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""6"": [2, ""softmax""]}"
model_436,197.274,,,,0.51,"[52, 73, 259, 382]",4,"{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_437,0.96,,,,0.65,"[211, 20, 271, 250, 117, 195, 382]",7,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_438,4.744,,,,0.52,"[209, 95, 322, 67, 204, 117, 382]",7,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_439,2.4290000000000003,,,,0.49,"[223, 345, 331, 179, 382]",5,"{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_440,4.434,,,,0.74,"[56, 207, 223, 287, 382]",5,"{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_441,66.80199999999999,,,,0.49,"[76, 293, 113, 243, 382]",5,"{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_442,0.396,,,,0.51,"[211, 300, 190, 48, 382]",5,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_443,18.642,,,,0.51,"[145, 263, 359, 382]",4,"{""0"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_444,3.708,,,,0.49,"[242, 295, 182, 207, 242, 215, 245, 134, 114, 4, 181, 109, 382]",13,"{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""8"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""9"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""10"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""11"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""12"": [2, ""softmax""]}"
model_445,1.56,,,,0.62,"[324, 43, 287, 29, 382]",5,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_446,1.6159999999999999,,,,0.49,"[214, 37, 152, 321, 228, 182, 311, 382]",8,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""6"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_447,3.391,,,,0.83,"[240, 284, 170, 45, 382]",5,"{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_448,33.16,,,,0.51,"[354, 177, 230, 215, 368, 382]",6,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Dense"", 16, ""relu""], ""5"": [2, ""softmax""]}"
model_449,9.716000000000001,,,,0.49,"[249, 256, 322, 139, 263, 105, 35, 382]",8,"{""0"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_450,5.785,,,,0.51,"[267, 40, 293, 117, 17, 338, 74, 212, 65, 382]",10,"{""0"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""6"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""8"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""9"": [2, ""softmax""]}"
model_451,23.156,,,,0.74,"[314, 241, 247, 382]",4,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_452,0.282,,,,0.68,"[9, 324, 9, 357, 382]",5,"{""0"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_453,4.258,,,,0.51,"[125, 343, 254, 272, 318, 382]",6,"{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
