model,params [K],accuracy,token_sequence,model_info
model_0052,15.954,0.82,"[161, 310, 178, 355, 10, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0053,2.378,0.8,"[105, 318, 325, 284, 20, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0054,7.05,0.51,"[15, 264, 341, 55, 85, 382]","{""0"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0055,0.546,0.69,"[41, 286, 344, 188, 345, 382]","{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0056,16.737,0.83,"[276, 158, 180, 357, 182, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0057,6.361,0.82,"[312, 110, 52, 8, 41, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0058,26.978,0.89,"[103, 6, 146, 90, 157, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0059,1.765,0.49,"[239, 277, 219, 48, 307, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0060,57.385,0.51,"[238, 85, 325, 39, 315, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0061,5.88,0.79,"[282, 139, 254, 189, 92, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0062,1.598,0.51,"[345, 287, 345, 136, 294, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0063,1.754,0.79,"[82, 203, 115, 265, 250, 382]","{""0"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0064,10.634,0.51,"[241, 381, 328, 335, 328, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""dropout"", 0.2], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0065,14.088,0.87,"[280, 153, 138, 80, 44, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0066,4.04,0.83,"[318, 138, 113, 20, 381, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""dropout"", 0.2], ""5"": [2, ""softmax""]}"
model_0067,1.56,0.51,"[331, 91, 273, 114, 335, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0068,5.425,0.8,"[308, 174, 90, 8, 353, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0069,2.062,0.51,"[261, 289, 79, 43, 60, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0070,5.384,0.7,"[220, 29, 63, 202, 223, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0071,8.108,0.84,"[328, 216, 260, 6, 112, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0072,21.554,0.49,"[6, 330, 43, 147, 231, 382]","{""0"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0073,2.014,0.75,"[323, 280, 139, 251, 237, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0074,3.202,0.77,"[31, 154, 120, 13, 258, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0075,2.106,0.84,"[24, 23, 40, 192, 27, 382]","{""0"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0076,236.066,0.51,"[355, 184, 143, 61, 377, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Dense"", 36, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0077,29.898,0.86,"[164, 180, 112, 223, 173, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0078,0.375,0.49,"[195, 270, 347, 23, 287, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0079,28.138,0.91,"[168, 136, 40, 276, 134, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0080,4.13,0.76,"[146, 198, 23, 67, 247, 382]","{""0"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0081,7.962,0.73,"[116, 32, 84, 105, 227, 382]","{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0082,6.218,0.71,"[10, 329, 127, 125, 81, 382]","{""0"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0083,3.874,0.74,"[66, 58, 230, 317, 115, 382]","{""0"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0084,1.448,0.58,"[189, 7, 66, 332, 197, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0085,0.239,0.51,"[323, 348, 292, 316, 190, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0086,3.258,0.51,"[141, 109, 331, 299, 17, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0087,0.926,0.51,"[244, 249, 117, 312, 246, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0088,3.122,0.76,"[156, 224, 353, 186, 316, 382]","{""0"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0089,3.408,0.78,"[251, 19, 190, 331, 180, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0090,20.11,0.8,"[205, 218, 96, 158, 275, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0091,5.026,0.75,"[163, 33, 224, 337, 96, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0092,10.298,0.51,"[73, 263, 50, 51, 30, 382]","{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0093,64.717,0.51,"[248, 217, 230, 135, 4, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0094,15.104,0.51,"[183, 93, 190, 337, 100, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0095,1.112,0.49,"[181, 11, 298, 35, 3, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0096,8.049,0.87,"[348, 144, 296, 66, 68, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0097,7.344,0.8,"[281, 105, 45, 99, 95, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0098,2.474,0.51,"[56, 310, 329, 217, 13, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0099,4.578,0.51,"[105, 65, 291, 239, 189, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0100,2.889,0.51,"[337, 10, 203, 242, 253, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0101,1.538,0.71,"[58, 36, 298, 3, 189, 382]","{""0"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0102,4.786,0.81,"[61, 283, 119, 58, 116, 382]","{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
